date,date_id,wind,desc,temp,baro,hum
"Thursday, February 11, 2021, 12:00 am — 6:00 am",1613001600000.0,4.971,Passing clouds.,28.4,30.27,93
"Thursday, February 11, 2021, 6:00 am — 12:00 pm",1613023200000.0,10.564,Partly sunny.,33.8,30.32,81
"Thursday, February 11, 2021, 12:00 pm — 6:00 pm",1613044800000.0,13.05,Partly sunny.,35.6,30.32,60
"Thursday, February 11, 2021, 6:00 pm — 12:00 am",1613066400000.0,14.293,Clear.,32.0,30.33,65
"Friday, February 12, 2021, 12:00 am — 6:00 am",1613088000000.0,16.157,Overcast.,30.2,30.35,67
"Friday, February 12, 2021, 6:00 am — 12:00 pm",1613109600000.0,17.4,Sunny.,33.8,30.4,61
"Friday, February 12, 2021, 12:00 pm — 6:00 pm",1613131200000.0,19.264,Partly sunny.,35.6,30.44,56
"Friday, February 12, 2021, 6:00 pm — 12:00 am",1613152800000.0,16.778,Overcast.,30.2,30.47,63
"Saturday, February 13, 2021, 12:00 am — 6:00 am",1613174400000.0,13.05,Clear.,28.4,30.48,71
"Saturday, February 13, 2021, 6:00 am — 12:00 pm",1613196000000.0,14.914,Sunny.,32.0,30.5,62
"Saturday, February 13, 2021, 12:00 pm — 6:00 pm",1613217600000.0,14.914,Sunny.,35.6,30.45,46
"Saturday, February 13, 2021, 6:00 pm — 12:00 am",1613239200000.0,13.05,Overcast.,35.6,30.44,52
"Sunday, February 14, 2021, 12:00 am — 6:00 am",1613260800000.0,12.428,Passing clouds.,35.6,30.38,58
"Sunday, February 14, 2021, 6:00 am — 12:00 pm",1613282400000.0,14.293,More clouds than sun.,37.4,30.31,58
"Sunday, February 14, 2021, 12:00 pm — 6:00 pm",1613304000000.0,11.807,More clouds than sun.,39.2,30.21,64
"Sunday, February 14, 2021, 6:00 pm — 12:00 am",1613325600000.0,11.185,Passing clouds.,39.2,30.14,80
"Monday, February 15, 2021, 12:00 am — 6:00 am",1613347200000.0,4.971,Low clouds.,42.8,30.06,94
"Monday, February 15, 2021, 6:00 am — 12:00 pm",1613368800000.0,6.836,Drizzle. Partly sunny.,50.0,30.04,99
"Monday, February 15, 2021, 12:00 pm — 6:00 pm",1613390400000.0,9.943,Partly sunny.,55.4,30.07,78
"Monday, February 15, 2021, 6:00 pm — 12:00 am",1613412000000.0,7.457,Passing clouds.,50.0,30.03,90
"Tuesday, February 16, 2021, 12:00 am — 6:00 am",1613433600000.0,11.185,Passing clouds.,50.0,29.88,87
"Tuesday, February 16, 2021, 6:00 am — 12:00 pm",1613455200000.0,10.564,Light rain. Partly sunny.,50.0,29.78,92
"Tuesday, February 16, 2021, 12:00 pm — 6:00 pm",1613476800000.0,9.943,Broken clouds.,51.8,29.74,89
"Tuesday, February 16, 2021, 6:00 pm — 12:00 am",1613498400000.0,9.321,Passing clouds.,48.2,29.8,90
"Wednesday, February 17, 2021, 12:00 am — 6:00 am",1613520000000.0,9.321,Passing clouds.,48.2,29.82,92
"Wednesday, February 17, 2021, 6:00 am — 12:00 pm",1613541600000.0,13.671,Light rain. Partly sunny.,50.0,29.8,95
"Wednesday, February 17, 2021, 12:00 pm — 6:00 pm",1613563200000.0,14.293,Drizzle. Partly sunny.,51.8,29.8,93
"Wednesday, February 17, 2021, 6:00 pm — 12:00 am",1613584800000.0,14.293,Passing clouds.,51.8,29.76,85
"Thursday, February 18, 2021, 12:00 am — 6:00 am",1613606400000.0,13.05,Passing clouds.,48.2,29.62,82
"Thursday, February 18, 2021, 6:00 am — 12:00 pm",1613628000000.0,13.671,Broken clouds.,51.8,29.49,83
"Thursday, February 18, 2021, 12:00 pm — 6:00 pm",1613649600000.0,15.535,Passing clouds.,50.0,29.61,65
"Thursday, February 18, 2021, 6:00 pm — 12:00 am",1613671200000.0,8.078,Clear.,42.8,29.76,80
"Friday, February 19, 2021, 12:00 am — 6:00 am",1613692800000.0,6.836,Passing clouds.,42.8,29.79,91
"Friday, February 19, 2021, 6:00 am — 12:00 pm",1613714400000.0,13.671,Broken clouds.,50.0,29.77,81
"Friday, February 19, 2021, 12:00 pm — 6:00 pm",1613736000000.0,15.535,Partly sunny.,50.0,29.73,83
"Friday, February 19, 2021, 6:00 pm — 12:00 am",1613757600000.0,13.05,Passing clouds.,53.6,29.68,80
"Saturday, February 20, 2021, 12:00 am — 6:00 am",1613779200000.0,10.564,Passing clouds.,55.4,29.65,75
"Saturday, February 20, 2021, 6:00 am — 12:00 pm",1613800800000.0,13.671,Sunny.,57.2,29.61,73
"Saturday, February 20, 2021, 12:00 pm — 6:00 pm",1613822400000.0,12.428,Sunny.,57.2,29.56,62
"Saturday, February 20, 2021, 6:00 pm — 12:00 am",1613844000000.0,11.807,Passing clouds.,57.2,29.6,63
"Sunday, February 21, 2021, 12:00 am — 6:00 am",1613865600000.0,8.7,Overcast.,55.4,29.7,84
"Sunday, February 21, 2021, 6:00 am — 12:00 pm",1613887200000.0,5.593,Partly sunny.,55.4,29.77,90
"Sunday, February 21, 2021, 12:00 pm — 6:00 pm",1613908800000.0,6.214,Partly sunny.,57.2,29.78,74
"Sunday, February 21, 2021, 6:00 pm — 12:00 am",1613930400000.0,3.728,Overcast.,51.8,29.8,83
"Monday, February 22, 2021, 12:00 am — 6:00 am",1613952000000.0,2.486,Passing clouds.,44.6,29.82,92
"Monday, February 22, 2021, 6:00 am — 12:00 pm",1613973600000.0,3.107,Sunny.,50.0,29.91,90
"Monday, February 22, 2021, 12:00 pm — 6:00 pm",1613995200000.0,1.864,Light rain. Low clouds.,50.0,30.01,95
"Monday, February 22, 2021, 6:00 pm — 12:00 am",1614016800000.0,3.107,Passing clouds.,50.0,30.13,96
"Tuesday, February 23, 2021, 12:00 am — 6:00 am",1614038400000.0,5.593,Mostly cloudy.,44.6,30.18,99
"Tuesday, February 23, 2021, 6:00 am — 12:00 pm",1614060000000.0,12.428,Sunny.,55.4,30.19,82
"Tuesday, February 23, 2021, 12:00 pm — 6:00 pm",1614081600000.0,17.4,Sunny.,59.0,30.17,56
"Tuesday, February 23, 2021, 6:00 pm — 12:00 am",1614103200000.0,14.914,Overcast.,55.4,30.19,65
"Wednesday, February 24, 2021, 12:00 am — 6:00 am",1614124800000.0,14.293,Passing clouds.,53.6,30.18,74
"Wednesday, February 24, 2021, 6:00 am — 12:00 pm",1614146400000.0,13.671,Sunny.,59.0,30.18,68
"Wednesday, February 24, 2021, 12:00 pm — 6:00 pm",1614168000000.0,14.293,Partly sunny.,60.8,30.15,69
"Wednesday, February 24, 2021, 6:00 pm — 12:00 am",1614189600000.0,10.564,Passing clouds.,55.4,30.15,72
"Thursday, February 25, 2021, 12:00 am — 6:00 am",1614211200000.0,11.807,Passing clouds.,55.4,30.16,80
"Thursday, February 25, 2021, 6:00 am — 12:00 pm",1614232800000.0,6.836,More clouds than sun.,51.8,30.28,85
